isbn,title,subtitle,author,publisher,publication_date
9780000000010,Sample Book 11,,Author 11,Sample Publisher,2020-02-15
9780000000011,Sample Book 12,,Author 12,Sample Publisher,2021-03-15
9780000000012,Sample Book 13,Subtitle 13,Author 13,Sample Publisher,2022-04-15
9780000000013,Sample Book 14,,Author 14,Sample Publisher,2023-05-15
9780000000014,Sample Book 15,,Author 15,Sample Publisher,2010-06-15
9780000000015,Sample Book 16,Subtitle 16,Author 16,Sample Publisher,2011-07-15
9780000000016,Sample Book 17,,Author 17,Sample Publisher,2012-08-15
9780000000017,Sample Book 18,,Author 18,Sample Publisher,2013-09-15
9780000000018,Sample Book 19,Subtitle 19,Author 19,Sample Publisher,2014-01-15
9780000000019,Sample Book 20,,Author 20,Sample Publisher,2015-02-15
9780000000020,Sample Book 21,,Author 21,Sample Publisher,2016-03-15
9780000000021,Sample Book 22,Subtitle 22,Author 22,Sample Publisher,2017-04-15
9780000000022,Sample Book 23,,Author 23,Sample Publisher,2018-05-15
9780000000023,Sample Book 24,,Author 24,Sample Publisher,2019-06-15
9780000000024,Sample Book 25,Subtitle 25,Author 25,Sample Publisher,2020-07-15
9780000000025,Sample Book 26,,Author 26,Sample Publisher,2021-08-15
9780000000026,Sample Book 27,,Author 27,Sample Publisher,2022-09-15
9780000000027,Sample Book 28,Subtitle 28,Author 28,Sample Publisher,2023-01-15
9780000000028,Sample Book 29,,Author 29,Sample Publisher,2010-02-15
9780000000029,Sample Book 30,,Author 30,Sample Publisher,2011-03-15
9780000000030,Sample Book 31,Subtitle 31,Author 31,Sample Publisher,2012-04-15
9780000000031,Sample Book 32,,Author 32,Sample Publisher,2013-05-15
9780000000032,Sample Book 33,,Author 33,Sample Publisher,2014-06-15
9780000000033,Sample Book 34,Subtitle 34,Author 34,Sample Publisher,2015-07-15
9780000000034,Sample Book 35,,Author 35,Sample Publisher,2016-08-15
9780000000035,Sample Book 36,,Author 36,Sample Publisher,2017-09-15
9780000000036,Sample Book 37,Subtitle 37,Author 37,Sample Publisher,2018-01-15
9780000000037,Sample Book 38,,Author 38,Sample Publisher,2019-02-15
9780000000038,Sample Book 39,,Author 39,Sample Publisher,2020-03-15
9780000000039,Sample Book 40,Subtitle 40,Author 40,Sample Publisher,2021-04-15
9780000000040,Sample Book 41,,Author 41,Sample Publisher,2022-05-15
9780000000041,Sample Book 42,,Author 42,Sample Publisher,2023-06-15
9780000000042,Sample Book 43,Subtitle 43,Author 43,Sample Publisher,2010-07-15
9780000000043,Sample Book 44,,Author 44,Sample Publisher,2011-08-15
9780000000044,Sample Book 45,,Author 45,Sample Publisher,2012-09-15
9780000000045,Sample Book 46,Subtitle 46,Author 46,Sample Publisher,2013-01-15
9780000000046,Sample Book 47,,Author 47,Sample Publisher,2014-02-15
9780000000047,Sample Book 48,,Author 48,Sample Publisher,2015-03-15
9780000000048,Sample Book 49,Subtitle 49,Author 49,Sample Publisher,2016-04-15
9780000000049,Sample Book 50,,Author 50,Sample Publisher,2017-05-15
9780000000050,Sample Book 51,,Author 51,Sample Publisher,2018-06-15
9780000000051,Sample Book 52,Subtitle 52,Author 52,Sample Publisher,2019-07-15
9780000000052,Sample Book 53,,Author 53,Sample Publisher,2020-08-15
9780000000053,Sample Book 54,,Author 54,Sample Publisher,2021-09-15
9780000000054,Sample Book 55,Subtitle 55,Author 55,Sample Publisher,2022-01-15
9780000000055,Sample Book 56,,Author 56,Sample Publisher,2023-02-15
9780000000056,Sample Book 57,,Author 57,Sample Publisher,2010-03-15
9780000000057,Sample Book 58,Subtitle 58,Author 58,Sample Publisher,2011-04-15
9780000000058,Sample Book 59,,Author 59,Sample Publisher,2012-05-15
9780000000059,Sample Book 60,,Author 60,Sample Publisher,2013-06-15
9780000000060,Sample Book 61,Subtitle 61,Author 61,Sample Publisher,2014-07-15
9780000000061,Sample Book 62,,Author 62,Sample Publisher,2015-08-15
9780000000062,Sample Book 63,,Author 63,Sample Publisher,2016-09-15
9780000000063,Sample Book 64,Subtitle 64,Author 64,Sample Publisher,2017-01-15
9780000000064,Sample Book 65,,Author 65,Sample Publisher,2018-02-15
9780000000065,Sample Book 66,,Author 66,Sample Publisher,2019-03-15
9780000000066,Sample Book 67,Subtitle 67,Author 67,Sample Publisher,2020-04-15
9780000000067,Sample Book 68,,Author 68,Sample Publisher,2021-05-15
9780000000068,Sample Book 69,,Author 69,Sample Publisher,2022-06-15
9780000000069,Sample Book 70,Subtitle 70,Author 70,Sample Publisher,2023-07-15
